part,experiment_name,mode,lr,d_model,n_heads,num_layers,ff_dim,dropout,weight_tying,total_params,trainable_params,train_time_seconds,tokens_per_second,peak_memory_mb,dev_ppl,test_ppl,checkpoint_path,decision,notes,best_epoch,final_train_loss,best_dev_loss,train_dev_gap,overfitting_note,source_csv,run_dir,seed,device,backend,amp_requested,amp_enabled_final,train_loss,valid_loss,valid_ppl,test_loss,lora_wrapped_modules,dev_loss,dev_intent_acc,dev_slot_f1,test_intent_acc,test_slot_acc,test_slot_f1,backbone
LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,True,3268608,3268608,0.464,532.367,0.0,47720.512764,48875.96532,results/20260625_140630_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,1,10.821886,10.773117,-0.04877,none,LM\partA\results\results_partA.csv,,,,,,,,,,,,,,,,,,
LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,True,3268608,3268608,0.313,788.17,0.0,47720.512764,48875.96532,results/20260625_140702_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,1,10.821886,10.773117,-0.04877,none,LM\partA\results\results_partA.csv,,,,,,,,,,,,,,,,,,
LM/partB,,smoke,,,,,,,,692224,692224,0.09,2837.615,0.0,,9989.516602,,,,,,,,,LM\partB\results\results.csv,20260625_134108_smoke_seed1,1,cpu,tiny_fallback_smoke,False,False,9.238837,9.219317,10090.174805,9.209291,0,,,,,,,
NLU/partA,,smoke,,,,,,,,117083,117083,0.065,1192.536,0.0,,,,,,,,,,,NLU\partA\results\results.csv,20260625_134114_smoke_seed1,1,cpu,,False,False,7.971048,,,7.619305,,7.597812,0.5,0.02439,0.375,0.224,0.0,
NLU/partB,,smoke,,,,,,,,117659,117659,0.081,1026.336,0.0,,,,,,,,,,,NLU\partB\results\results.csv,20260625_134118_smoke_seed1,1,cpu,tiny_fallback_bert_smoke,False,False,7.754176,,,7.300809,,7.382197,0.75,0.0,0.875,0.008,0.0,bert
NLU/partB,,smoke,,,,,,,,117659,117659,0.064,1757.337,0.0,,,,,,,,,,,NLU\partB\results\results.csv,20260625_134118_smoke_seed1,1,cpu,tiny_fallback_gpt2_smoke,False,False,8.021062,,,7.526234,,7.664127,0.625,0.056604,0.875,0.072,0.035294,gpt2
