part,experiment_name,mode,lr,d_model,n_heads,num_layers,ff_dim,dropout,total_params,trainable_params,train_time_seconds,peak_memory_mb,intent_acc_dev,slot_f1_dev,intent_acc_test,slot_f1_test,semantic_frame_acc_test,checkpoint_path,decision,notes
NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,116828,116828,0.09,0.0,0.625,0.040404,0.875,0.014599,0.0,results/20260625_143137_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far
NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,116828,116828,0.0,0.0,0.625,0.040404,0.875,0.014599,0.0,results/20260625_143137_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far
NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,116828,116828,0.083,0.0,0.625,0.040404,0.875,0.014599,0.0,results/20260625_143221_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far
NLU/partA,smoke_shapes_losses_metrics_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,116828,116828,0.076,0.0,0.625,0.040404,0.875,0.014599,0.0,results/20260625_145925_smoke_seed1/smoke_shapes_losses_metrics_checkpoint_csv/best.pt,accept,best dev intent/slot combined score so far
