part,experiment_name,mode,lr,d_model,n_heads,num_layers,ff_dim,dropout,weight_tying,total_params,trainable_params,train_time_seconds,tokens_per_second,peak_memory_mb,dev_ppl,test_ppl,checkpoint_path,decision,notes,best_epoch,final_train_loss,best_dev_loss,train_dev_gap,overfitting_note
LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,True,3268608,3268608,0.464,532.367,0.0,47720.512764,48875.96532,results/20260625_140630_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,1,10.821886,10.773117,-0.04877,none
LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,True,3268608,3268608,0.313,788.17,0.0,47720.512764,48875.96532,results/20260625_140702_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,1,10.821886,10.773117,-0.04877,none
LM/partA,smoke_shapes_loss_ppl_checkpoint_csv,smoke,0.0005,64,2,1,256,0.1,True,3268608,3268608,0.357,691.469,0.0,47720.512764,48875.96532,results/20260625_145853_smoke_seed1/smoke_shapes_loss_ppl_checkpoint_csv/best.pt,accept,best dev PPL so far,1,10.821886,10.773117,-0.04877,none
