part,experiment_name,mode,rank,alpha,target_modules,lr,total_params,trainable_params,trainable_percent,train_time_seconds,tokens_per_second,peak_memory_mb,dev_ppl,test_ppl,partA_best_ppl,improves_over_partA,checkpoint_path,notes
LM/partB,smoke_lora_qkv_r2_alpha4,smoke,2,4,qkv,0.0005,124550400,110592,0.088793,1.488,172.033,0.0,207.371476,365.313062,47720.512764,True,results/20260625_141858_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532
LM/partB,smoke_lora_qkv_r2_alpha4,smoke,2,4,c_attn:qkv,0.0005,124550400,110592,0.088793,1.416,180.741,0.0,207.371476,365.313062,47720.512764,True,results/20260625_142150_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532
LM/partB,smoke_lora_qkv_r2_alpha4,smoke,2,4,c_attn:qkv,0.0005,124550400,110592,0.088793,0.0,0.0,0.0,207.371476,365.313062,47720.512764,True,results/20260625_142150_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532
LM/partB,smoke_lora_qkv_r2_alpha4,smoke,2,4,c_attn:qkv,0.0005,124550400,110592,0.088793,1.293,198.023,0.0,207.371476,365.313062,47720.512764,True,results/20260625_145908_smoke_seed1/smoke_lora_qkv_r2_alpha4/best_lora_adapters.pt,manual LoRA on fused c_attn Q/K/V sections; step0_max_abs_diff=0; partA_best_test_ppl=48875.96532
