run_dir,part,mode,seed,device,backbone,backend,amp_requested,amp_enabled_final,train_loss,dev_loss,dev_intent_acc,dev_slot_f1,test_loss,test_intent_acc,test_slot_acc,test_slot_f1,train_time_seconds,tokens_per_second,peak_memory_mb,total_params,trainable_params
20260625_134118_smoke_seed1,NLU/partB,smoke,1,cpu,bert,tiny_fallback_bert_smoke,False,False,7.754176,7.382197,0.75,0.0,7.300809,0.875,0.008,0.0,0.081,1026.336,0.0,117659,117659
20260625_134118_smoke_seed1,NLU/partB,smoke,1,cpu,gpt2,tiny_fallback_gpt2_smoke,False,False,8.021062,7.664127,0.625,0.056604,7.526234,0.875,0.072,0.035294,0.064,1757.337,0.0,117659,117659
